content,polarity
"Saya makan di sini dengan menggunakan voucher disdus. Paket nasi ayam kari, dengan diskon hingga 30 persen. Akibatnya para pengunjung mengantri untuk meredeem voucher. Cilakanya cek voucher masih dilakukan secara manual. Tidak ada masalah untuk makanannya, hanya saja antrian terlalu lama. Voucher sendiri sudah dibeli jadi mau tidak mau para pengunjung mengantri",negative
"Dikarenakan adik saya suka dengan restoran ini, saya akhirnya mampir ke sini. Dari awal sih saya langsung tidak sreg sih. Makanan yang disediakan terlihat seperti yang tidak terlalu membangkitkan selera. Berbeda dengan restoran shabu yang biasa saya kunjungi. Dan setelah saya memilih dan mulai memasaknya, ternyata benar, rasanya pun tak masuk di lidah. Akhirnya banyak makanan yang tidak dimakan. Oiya,. Lanjutan",negative
"Biasa2 saja g ada yg special, ayam gorengnya terlalu berminyak, makanan smua dingin cuma nasi nya yang panas, Harganya normal.",negative
"Beberapa kali saya coba makan malam disini. Pelayanannya sangat buruk, kurang responsif kepada pengunjung. Terakhir saya datang, saya haru mendatangi kasir untuk meminta menu. Terakhir saya coba makan pempek disini, tidak seperti dari asalnya, rasanya kurang enak dan tidak disediakan sambal. Sangat tidak memuaskan",negative
"Banyak pilihan makanan yang ada disini. Tempatnya pun bersih. Sangat disayangkan pelayanannya kurang baik. Pesan tahu gejrot saja lama sekali, ternyata pelayannya lupa.",negative
"The Kiosk Braga salah satu alternatif tempat makan siang bagi saya dan rekan kerja saya, sebelum direnovasi menjadi konsep the lost (sensasi makan di dalam gua), the kiosk cukup recommended, namun akhir akhir ini, pelayanannya sangat buruk, sering lama, bahkan bisa hampir satu jam, pesan makanan jam 12.05, datangnya 12.55, untuk harga sich standarlah, nggak bisa dibilang murah juga karena. Lanjutan",negative
"Berbekal referensi dari internet, kami penggemar steak ingin mencari alternatif tempat yg belum kami datangi, salah satunya abuba.Kami pesan Tenderlorin dan T bone dengan pembakaran cukup matang.Sesudah menunggu lama, krn resto sdg penuh di akhir pekan.Pesanan kami jauh dari yg kami bayangkan, Steak yg gosong dan keras, dan satu lg steak msh merah cenderung mentah, dengan penyajian asal2 an, steaknya. Lanjutan",negative
"Saya adalah penggemar steak namun ketika saya makan di abuba, ternyata rasanya jauh dari yg pernah dibayangkan bahkan sauce-nya sangat tidak enak seperti sauce ABC biasa (katanya barbeque) kemudian tidak ada lagi pilihan sauce yg lain.!!! Tak mau lagi kesini",negative
"Yang ada cuma kebun selada ajah, udah diganti selada. Pas dateng lumayan sepi. Masih mending d rumah stroberi kalo mw ketik stroberi.",negative
"Bersama keluarga serta anak singgah disini untuk berlibur & memetik strawberry, ternyata tidak sesuai harapan, buah idaman anak-anak ternyata tidak ada yang masak setelah kami menebus tiket dengan harga yang cukup mahal. Kecewa dan merasa tertipu, padahal kasir mengatakan buah strawberry ada dibagian atas, lelah mendaki dan hasilnya nol, hanya mendapat lelah. Jika kalian kesini liat dari samping pintu masuk,. Lanjutan",negative
