title;text
Resto tengah kota dengan suasana nyaman;Biasanya untuk cari suasana indah hrs ke daerah Dago dll.. Ini tengah kota tapi suasana ya ga kalah cantik.. Saya suka makanannya.. Suasana nya.. Rasanya.. Harga emang aga mahal tapi untuk kepuasan yg didapat.. Relaaaaa
Resto dengan Taman dan setting yang menarik;Yang menjadi point utama dari resto ini adalah penataan ruangan dan tamannya, walau areanya tidak terlalu luas untuk resort tetapi di atur dengan baik sehingga menjadi menarik dan cantikDuduk di dalam deket jendela udaranya masih sejuk.Steak Salmon dan sauce nya delicous.Begitu pula juice nya banyak pilihan..Ada musholla kecil yg cukup bersih.
Romantic Dinner @atmosphere Resort Cafe;Lokasinya berada ditengah kota Bandung, Nuansanya romantis, ada live music, meskipun rasa makanan nya tidak istimewa.
Venue yang bagus namun pelayanan mengecewakan;Datang dengan rombongan di sabtu malam minggu, venue sangat indah namun sayangnya pelayan tidak sigap dan beberapa order blm dibuat hingga kami bersiap pulang, yang menyebalkan adalah saat kami akan cancel order yg akan di take away TIDAK BOLEH dengan alasan sudah di proses SEDANGKAN saat bbrp order dine-in kami tidak diantar2 hingga kami mau pulang boleh di cancel krn kesalahan dari pihak restaurant,,, tidak fair dan sangat mengecewakan meskipun harga makanannya tidak murah juga... will not be back for sure :)
cafe dengan pemandangan yang bagus;tempatnya sangat bagus, pemandangannya super keren, perpaduan antara nuansa bandung dan bali, di bagian depan terdapat tempat makan dengan desain kursi dan meja berjejer rapi, sementara di bagian belakang terdapat saung-saung dengan pemandangan yang sangat bagus. ada live musicnya juga, cocok untuk romantic dinner. makanan yang ditawarkan yaitu perpaduan menu asia dan western, seperti steak, pasta, goulash, ada juga sop buntut, dll. saya memesan tenderloin steak australia, rasanya enak, dagingnya sangat lembut tetapi porsinya agak kecil. restaurant ini penuh pada malam minggu, yang menarik parkir disini ditawarkan dengan sistem vallet dengan membayar seikhlasnya.
Makanan Sunda hingga Eropa;Senang makan di resstoran ini, banyak variasi menu yang ditawarkan. Mulai dari makanan sundaan hingga makanan eropaan. Mantap
Resort cafe yg top;Cafe berlokasi di tengah kota, tempatnya cukup luas ,asik dan menyenangkan untuk berlama2 dengan sahabat.Kami memilih duduk di gazebo.Steaknya top, waktu itu kami pesan steak non local , rasanya enak dengan porsi sedang , harganya pun cukup mahal.Pelayanan standar.
Cafe yang nyaman dengan makanan enak;Pernah kesini sekitar tahun 2007, dan saya sangat terkesan.. Ketika diajak kembali, saya langsung tau akan memesan apa.. Steak!Tiba di cafe, saya masih terkesan dan terpukau dengan interios cafe yang cozy dan terlihat mewah. Dengan konsep outdoor dan romatis. Sayang sekali selalu kesini karena acara kantor.Pilihan steak saya Tenderloin Cafe de Paris. Sesuai dengan gambar di menu, makanan yang disajikan sesuai. Rasanya sangat enak. sesuai dengan kenangan tahun 2007 dulu...Semoga bisa kesini lagi....
Mewah;resto dengan taman air, lesehan, udara terbuka. Nyaman buat makan siang. Dan sepertinya berasa romantis untuk makan malam. Harga tergolong mahal, tapi porsinya besar untuk makanan yg saya pesan, yaitu bebek betutu dan bebek bukit tinggi. Kaya bumbu dan rasa. Sambal juga mantap. Jadi meski mahal, saya tidak kecewa.
Cozy place dan nice view;Makanan cukup beragam dari chinese food, eropean dan indonesian food. Biasa saya pesan chicken cordon blue dengan keju cair yang enak. Duduk di saung2 melihat kolam ikan diiringi live music memberikan suasana yang relaks
