sep=;
title;text
Atmosphere Bandung Tempo Dulu berasa banget;Penasaran sama resto Braga Permai yang banyak di perbincangkan di sosial media. Satu saat pergi ke sana setelah makan malam di salah satu restaurant di Jl Sumatera. Kami mencoba Cheese cake dan sejenis decadence cake tapi lupa nama pastinya soalnya sudah sekitar bulan Juni 2015, tak hanya mengobati penasaran tapi kami menikmati suasana nya yang memang seperti membawa kita ke masa masa Belanda dengan architecture bangunan khas Belanda apalagi lokasinya yang memang di Braga street which is known sebagai pusat art deco. Kami menikmati dessertnya dan harga yang terjangkau menurut kami. Well gonna try another menu next time.
"Great Moment";Nggak nyangka kalau akan makan bareng teman kerja di Braga Permai. Suasananya asyik ... terutama malam hari, makan Salmon steak, asparagus soup, jus nanas, maknyoooooss ... pokoke yummmy, apalagi tambah diiringi live music ... wow keren.
Selalu makan di sini saat mengunjungi Bandung. ;Restaurant terbaik di Bandung dengan semua pilihan makanannya yang enak dan selalu sempurna, harga yang sangat terjangkau, service yang selalu memuaskan, dan suasana yang nyaman. Setiap kali mengunjungi Bandung pasti akan kembali dan makan di sini paling tidak sekali. Terus dijaga!
Lumayan;Otentik dan sehat. Seperti jus mangga, benar2 mangga tanpa gula atau susu. Nasi gorengnya juga enak, meski tak segurih kalau pakai bumbu nasi goreng instan, tapi fresh, ada daging ayamnya yang juicy. Oh ya, free refill air putih. Gratis stick keju dan roti bawang. Semoga saja halal, mengingat banyak tamu yg minum minuman keras/bir.
Nostalgia masa lalu di pusat kota Bandung;Bersantap di Braga Permai mengingatkan saya pada masa kecil dan makan bersama keluarga. Rasanya tidak banyak yang berubah dengan Braga Permai waktu itu dan kini. Tempat tetap nyaman, masakan tetap lezat, dan pelayanan tetap ramah. Jangan lupa mencoba es krim nougatnya!
Hangout;Kl urusan makanan yg enak2 kayanya braga permai deh raja nya....bukan hanya makanan yg mantap tapi suasana nya pun semakin hangat apalagi bersama family or frend....lagu2 nya juga menghibur banget......
Tempat makan yang menyenangkan dan enak;Saya sangat menyukai resto ini karena makanan yang enak dan harganya tidak terlalu mahal. Banyak menjual jenis makanan tempo Doeloe.
Ini Tempat bagus banget;saya mencoba makan di braga permai pada saat tahun barudan minimal per orang harus 100.000 rupiahtapi kita awalnya menyangka makanan disini mahal2tapi ternyata tidak tepat dugaan sayasaya dan istri sampai bingung pesan apalagi untuk sampai 200.000karena harga nya murah dan tentu porsi juga cukup banyakjangan lupa kalau kesini pesan ice creamnyaenaaak
Restoran nyaman di Jalan Braga;Di Jalan Braga selain restoran sumber hidangan, terdapat restoran braga permai yang dahulu merupakan restoran maison bogerijn.Rekomendasi makanan :1. Pizza2. Zuppa Soup3. Bitter BallenHarga sangat bersahabat untuk lokasi dan makanan.
Romantis, pelayanan mengagumkan, harga bersahabat;Tadinya berpikir resto Braga Permai punya harga makanan yang mahal, ternyata di luar dugaan. Harganya tidak terlalu mahal, tapi pelayanannya mengagumkan. I will come back again!
enaaakkk;selain rasanya mengesankan, harganya pun relatif terjangkau. menunya ada western dan indo, yg paling sy suka pizzanya. harus harus harus dikunjungi kalau ke bandung!
Jualan kekunoan;Bagi yang senang bernostalgia, tempat ini ga bakal mengecewakan. Cita rasanya makanannya biasa saja... yang recommended cuma Nasi Goreng
Suasana jaman dulu makanan biasa saja;Lokasi di tengah jalan braga yang pas untuk sekedar duduk sore hari, untuk makanan disediakan bread complimentary dan refill air minum. fettucini nya enak dan dessertnya sangat unik dan enak. tapi tidak dengan hidangan ayam olahan seperti cordon blue, dagingnya terasa tidak fresh dan agak bau. restoran ini lebih tepat untuk duduk bersantai tapi tidak ditunjang dengan maincourse yg baik.
