sep=;
title;text
RIBET;Shuttle yang disiapkan berbayar, lumayan juga 20.000/pax. Sementara pelayanan shuttle dirasa masih kurang. Pengunjung harus menunggu untuk dapat melakukann perjalanan denganshuttle
Bagus;View bagus, ada sungai kecil anak-anak bisa bermain, ada permainan air juga. Makanan juga lumayan enak. Harga standar restoran sejenis.
Menarik;Di tempat ini saya pertama kunjungi saat di lembang, tempatnya sangat unik, dimana terdapat rumah rabit yang sangat lucu, seperti berada di negeri dongeng
Tempat yang menarik untuk pergi bersama keluarga;Tempat rekreasi yang cukup bagus untuk pergi bersama keluarga. Ada tempat main anak-anak, ada taman yang indah, dan tempat makan yang cukup banyak. Lingkungan yang asri dan menyenangkan.
Restoran yang menjual suasana;Ketika berkunjung ke Dusun Bambu, saya bersama keluarga makan di Restoran Burangrang, menurut saya rasa makanan standar dengan harga yang cukup mahal. Selain Burangrang terdapat beberapa restoran lagi disini seperti Lutung Kasarung dan Pasar Khatulistiwa. Di Dusun Bambu banyak spot fotogenic (tapi aslinya tidak seindah di foto). Sepertinya lebih indah mengunjungi Dusun Bambu di sore hari sampai dengan malam hari.
makanmalam di burangrang cafe;karena menginap di resortnya maka kita memutuskan untuk makan malam disana, secara keseluruhan tidak ada yang special dari makanannya. Karena sudah malas keluar jadi kita coba restorannya.
desa dengan gaya modern, tp makanan mahal;Untungnya kita kesini hari kerja, bkn long weekend kmrn, jd dpt parkir & ga penuh. Parkirnya ga terlalu luas & kita hrs naik shuttle ke dlm dusun bambu. Setelah liat review bnyk yg blg overprice food with less quality, kita niatkan kesini bukan untuk makan...tapi cm untuk liat2. Dgn byr 15rb, free shuttle & bs keliling2 jln kaki. Kl ga mo naik shuttle, bs jalan 4 menit di sepanjang pematang sawah. Kita di drop sm shuttlenya di Pasar khatulistiwa & lutung kasarung. Lutung kasarung itu tempat makan bentuknya spt sangkar burung bambu, lucuu & unik! Untuk foto2 di dalem, kena cas 100rb/jam (blm termasuk makanan), kl on budget spt saya, mending foto2 dr luar aja, hehehe. Paling suka sm lampion bambu yg ada di tengah2 Pasar Khatulistiwa, gaya tradisional yg dibalut modern. Pasa khatulistiwa ini semacam toko souvenir, snack, minuman, yg disampingnya ada food stall yg harsu pk kartu voucher.Turun lg ke bawah menuju danaunya yg dipinggir danau ada resto lesehan, di atasnya ada gedung restoran kaca2, jd seruu liatnya kl dr tengah danau, semua pemandangan dapet. jgn lupa selfie di tengah danau itu yaa. Selain liat yg ijo2 sm bunga2, dusun bambu jg nyediain area tempat duduk di tiap sudutnya. jd ga usah khawatir bwt yg cepet capek :D:D:DSelain liat pemandangan, ada aktivitas outdoor jg, ngayuh sampan, metik stroberi, camping, dan yg pastiii di dlm dusun bambu, ada Labirin, area bermain untuk batita & balita. wooww cool!
Akan lebih menyenangkan jika datang dihari kerja;Ketika saya berkunjung saat akhir pekan dan kondisi nya sangat ramai. suasan nya memang sangat menyenangkan, udara yang sejuk dan pemandangan yang indah. Namun menjadi sangan terbatas karena segala fasilitas serba penuh dan ketika hendak makan burangrang restaurant & caffe saya sudah dusuguhi dengan 2 lembar waiting list untuk dapat masuk ke restauran tersebut. Namun jika beruntung anda dapat menikmati pertunjukan angklung dipinggir danau .Jika ingin benar-benar menikmati suasana nya saya sarankan datang di hari kerja saja.
pemandangan yang indah, udara yang sejuk, atmosfer yang tenang, bagus untuk self healing;Lebih baik datang tidak di musim peak season, karena terasa riuh rendah belum lagi perjuangan mencapai tempat ini dari kemacetan di Lembang. Hari biasa, pengunjung tak terlalu banyak jadi tempat yang nyaman untuk merenung, meresapi keindahan alam. Ada wahana bermain untuk anak-anak, ada tempat bersantap private menghadap danau, lakukan dulu reservasi beberapa hari sebelumnya. Bisa bersampan dengan orang yang kita cintai. ehem... Saya suka tempat ini dengan bunga-bunganya yang indah
Santap Santai Sabar;Sangat ramai pada musim liburan sehingga perlu bersabar untuk bisa bersantap dan bersantai... kalo beruntung bisa dapet seat di rumah pohon! Beli makanan dengan kupon, ribet juga euy
Menikmati susana desa;Menuju Dusun Bambu sangat mudah, perlu bayar 15Rb untuk dapat masuk dan meikmati fasilitas shuttle dari area parkiran menuju area tempat makan, tersedia restoran, foodcourt, saung pinggir kolam dan sangkar-sangkaran yang dapat di sewa perjam, untuk makanan cukup enak, dengan harga termasuk mahal. Tersedia area outbound dan tempat bermain anak-anak yang dapat dinikmati dengan membayar tentunya. Lebih dapat dinikmati saat sore menjelang malam, udara dingin sudah terasa dan lampu-lampu sudah mulai menyala...Tq:)
Tempat rame;Tempat makan ini rame saat liburan.Tempatnya bagus dengan pemandangan yang sangat indah untuk foto-foto.Kekurangannya:Pada saat masuk dipungut tiket masuk,jika ingin makan di pinggir danau harus reservasi dulu sayangnya reservasi tidak bisa online,kupon yang ditukarkan tidak bisa diuangkan kembali,harga makanannya lumayan mahal.Tp overall lumayanlah karena lumayan banyak spot indah buat foto-foto
mahal;untuk orang bandung sih malas kmbali ke sana 2 kali. cukup sekali. masul harus bayar. makanan mahal memang cocok untuk bermain anak sih. cocok untuk wisata keluarga. tapi tidak ada akses angkutan umum ke sini
Wowwww..;Pertama kesini dari jalan rumayan masuknya dengan jalan yg jelek..begitu sampai disana wooow..banyak bunga bertebaran serasa naik gunung di luar negri..:)) ada aliran kali kecilnya, feder ke atas pun ada...yg paling bagus itu resto sangkar burungnya walaupun harus antri reservasi dan tergolong maahhalll...dan satu lagi kalau kesini harus bawa kocek yang banyak soalnya makanan yang di jual disini muahaaallll...hehehe
alami dan segar;Fasilitas ok, anak sangat riang, ada atv, mini farm, danaunya bagus, makanan lengkap, layout taman alami dan tertata
