sep=;
title;text
enakk;sop burung daranya mantap.. udang mayonesnya unik sekali.. ga ada yang seenak di eastern.. dulu sih ada all u can eat. katanya sekarang uda ga
Dimsum all you can eat bersama teman-teman;Beberapa waktu lalu saya merayakan kelulusan salah seorang sahabat dekat saya dengan memesan restoran ini pada pukul 8 malam. Tidak terlalu ramai kecuali pada weekend. Kami memesan dimsum all you can eat. Makanan sangat enak dan banyak pilihan yang bisa anda pilih. Dimsum dan dessert nya adalah salah satu kelebihan restoran ini.Kelebihan:1. Porsi banyak cocok untuk makan bersama-sama2. Tempat bagus dan interiornya indah cocok untuk bersantai dan bersantap ria3. LapangKekurangan: apabila sedang ramai, pesanan agak lama datang
Good Good Good;Makananya semuanya enak. Paling suka sama udang mayonaisenya. Cocok buat merayakan kehidupan bersama teman-teman. Porsinya besar jadi lebih baik sharing aja makannya.
Restoran oriental yg cukup oke;Harus menunggu agak lama untuk dapat menikmati makanan di restoran yg terletak di istana plaza, krn restoran ini kalau malam hari penuh, terkecuali kita berkunjung pas jam buka restoran sekitar jam 11 pagi.Makanan yg disajikan lumayan enak, terutama udang telur asin, tp untuk cream soupnya terlalu encer tp cukup oke shg terbayarkan ketika sdh mengantri lama.
Usang goreng mayonaise favoritku;menu special disini adalah udang goreng mayonaise, sapi lada hitam. Dim sum yang disajikan juga beraneka ragam. Jangan lupa datang lebih awal karena weekend antrian cukup panjang
chinese food yang enak;Di eastern ini makanan nya chinese food, saya paling suka sama udang mayonaise nya, enak sekali. Untuk porsi cukup besar, jadi bisa berbagi sama keluarga atau teman. Harga nya standard makanan chinese sih.disini juga ada all you can eat dimsum, tapi harga nya lumayan mahal, jadi kalau mau all you can eat sebaiknya kalau lagi benar-benar lapar aja.
Rekomendasi dimsum halal;Kami suka tempat ini dan mengunjunginya sekali dalam beberapa bulan, terutama untuk makan siang.Makanannya cocok dengan selera kami dan saya pun bisa mengajak teman karena dimsum-nya halal. Selain kualitas makanan, juga kerjasama dengan bank/ promo kartu kredit menjadi pertimbangan kami untuk mengunjungi tempat ini.Masukan bagi Eastern mungkin agar meningkatkan pelayanan agar lebih baik lagi supaya klien/ pengunjung selalu puas dan ingin kembali di lain waktu.
Makanan dingin;Pada saat saya datang Hari Minggu Pk.08.00 sepi tapi pada saat saya selesai banyak orang menunggu di luar. Rasa enak tapi dingin. Harga murah
Nikmat!;Salah satu restoran tiongkok favorit saya. Makanannya enak! Porsinya juga besar, dan pilihan masakannya enak. Restorannya cukup besar dan banyak tempat duduknya. Masakan favorit saya adalah kepiting sokanya dan juga tahu seafood. Restoran ini sangat cocok untuk makan bersama keluarga
Dimsum nikmat & halal;Menu yg tersedia sangat beragam mulai dari daging ayam, bebek, udang, , ikan, daging sapi dll yg diolah dgn cara digoreng atau dikukus. Tersedia jg berbagai macam bubur & bapau.Harga per porsi 15rb ke atas. Lebih baik datang di hari minggu atau hari libur karena menu yg tersedia lebih beragam & tinggal diambil di meja display sesuai dgn yg kita inginkan. Idealnya datang antara jam 8.30 - 9 pagi. Datang lbh siang, siap2 masuk waiting list krn tamunya sangat banyak.Di hari biasa utk menu tertentu kadang kita hrs order terlebih dahulu & menunggu cukup lama.Mknn yg patut dicoba sup burung dara.
Restoran chinese food dan dimsum favorit di Bandung!;Dimsum terbaik di bandung? Menirutku ini jawabannya. Biasanya dua atau tiga bulan sekali mengunjungi ini bersama teman utk melupakan kepenatandi kampus. Hakaondan dimsum lainnya, sup burung dara, udang mayonaise, semuanta terbaik di Bandung. Mesti dicoba bagi pecinta makanan chinese.
Salah satu resto favorit keluarga;Resto ini umumnya ramai saat kami berkunjung. Saat datang di tahun baru jam 10.30 siang, masih ada 9 antrian di depan kami. Kami mencicipi 3 menu dimsum sebelum makan menu utama. Udang mayonnaise nya termasuk paling lezat dari resto yang kami kunjungi. Tahu spesial Easternnya (campuran tahu, sayuran dan jamur dengan saos tiram kental) lezat. Ikan gurami telornya asinnya cukup lezat, sayang masih ada sedikit bau tanah. Layanan stafnya ramah dan cukup cepat dalam kondisi semua meja terisi.
Buncis dan dimsumnya enak!;Waktu itu saya pesan buncis dan menu lainnya. Saya lupa nama persis menunya tapi buncisnya enak banget! Dan dimsumnya juara di sini, semuanya enak-enak, apalagi kalau dimakan dengan minyak cabenya yang terkenal!
Ennaaaakk!;Di restoran ini kita dapat menikmati Chinese Food dengan harga yang seimbang dengan kualitas dan servisnya memuaskan. Saya suka sekali dengan Sup Burung Dara-nya, menurut saya recommended! Apalagi Bebek Pekingnya. Enak sekali! Saya selalu ingin berkunjung kembali ke restoran ini.
Tempat Makan yang Ekslusif dengan harga yang masih Bersahabat;Menu yang ada disini adalah chinese food, tapi tanpa Babi. Dimsumnya enak, terutama siomaynya, yang merupakan campuran daging ayam dan udang. Sup Burung Daranya terkenal. Menu ala cartenya tinggal pilih yang ada dimeja. Harga perporsinya antara 20rb-30rb. Ada juga pilihan all you can eatnya dengan harga 175rb - 225 rban. All you can eat dimsumnya sekitar 100 rebuan.
