sep=;
title;text
Recommend ;Tempat parkirnya sempit. Tempat makannya jg tidak tidak terlalu besar, meja makan terutama, kurang nyaman untuk makan lebih dari 2org. Harus digabung. Cocok untuk tempat hang out. Menu makanan banyak dan bervariasi, makanan enak dan porsinya besar, harga sesuai dengan porsi dan rasa, cake.. JempolSo far walaupun masih ada kekurangan untuk menu makan, minum dan dessert semua yg sya coba enak (jempol, jempol, jempol)
Breakfast Ala Rumah;Kenapa saya katakan breakfast ala rumah, karena kebetulan saya mengunjungi tempat ini untuk breakfast. Dan Hummingbird eatery yang ada dijalan Progo Bandung ini menawarkan tempat untuk bersantap seperti layaknya dirumah. Menu makanan nya cukup bervariasi (khususnya breakfast) dan presentasi makanan nya juga cukup menarik. Untuk harga menunya terbilang sedikit mahal atau menurut pendapat saya pribadi untuk kelas harga menengah
Sarapan pagi di hummingbird;Cafe ini terletak dijl progo 14 , sesuatu yg tidak disengaja. Luar cafe sangat biasa...namun setelah masuk benar benar nggak ingin keluar. Ruangan dengan dekorasi menarik full kehidupan burung...ada kursi berdua, ada yg 6 kursi...mau dmoking dan smoking dengan musik lembut...dan kedua makan paginya enak teman pesan sandwich dan saya nasi ...lezattt patut kesini kembali
Pingin suasana beda......;Tempatnya cukup unik dan cozy buat hang out....dengan tema kebun dan kitchen didalam ruangan,Makanannya disajikan dengan unik. cemilannya juga enak.saya kebetulan kesana untuk sekedar santai, disana tersedia kopi juga, shake, tea seperti biasanya. Pancake nya yummy juga
Rasa, suasana n layanannya ngangenin.;Makanannya memuaskan lidah, suasananya nyaman, layanannya juga OK. Gini deh, 5x ke Bdg bisa 4x ke sini..
cozy sekali;hummingbird eatery ini sangat nyaman untuk ngobrol lama bersama teman teman karena suasana nya yang dingin dan tenang bkin betah banget an juga makanan dan minumannya recomended deh!
Backyard Whimsical Sensation;salah satu tempat makan yang berada dijalan progo, jalan yang cukup terkenal dan dipadati oleh kunjungan wisata. Hummingbird Eatery menyuguhnya sensasi makan yang menurut saya itu adalah backyard whimsical yang cendrung dipakai di eropa.makananya yang cukup menggugah selera di tunjangan dengan beverage yang dibalut dengan gelas cantik. plating food & Beverage di tempat ini salah satu yang saya sukai, makan bukan hanya rasa bagi saya, tetapi visula juga harus menunjang untuk mendapatkan kepuasa dalam menyantap.pelayanan yang cukup bagus walaupun cukup susah untuk waiters menhampiri dikarenan kesibukan dan ngobrol untuk kita mengorder makanan, tetapi hal tersebut tidak mengurangi minat saya untuk terus kembali lagi ketempat ini
Breakfast panini nya failed;Beberapa kali ke sini, ga pernah kecewa dengan makanan dan minuman nya. Selain tampilannya menggugah selera, rasa nya pun enak.Tapi wiken kemaren sy mampir lagi ke sini. Pesan breakfast panini. Entah kenapa rasa nya kurang memuaskan. Dingin dan hambar. Bahkan panini di food truck yg harga nya lbh murah rasanya lbh enak. Semoga ke depannya bisa diperbaiki kualitas nya.
nyaman buat tempat ngobrol;tempatnya nyaman bgt buat ngobrol sama teman"...banyak gambar dan pernak pernik burung.biasanya klu ksini pilih yg ringan..pizza dan pasta...bisa makan bareng.varian pizza nya enak enak...pasta nya jg enak.disini banyak varian makanannya...indonesia maupun western.oh ya....kentang goreng rasa rendangnya juaraaa...enak bgt.varian minumannya jg banyak.untuk harga ya standart cafe lah...oh ya....dsini jg ada penginapan nya...buat yg dari luar kota dan ingin nginap seputaran fo....bisa nih.
Restoran Yang Harus Kamu Kunjungi;Restorannya designnya unik, lokasinya bagus dan makanannya enak juga. Di atas restoran ini ada kamar penginapan juga. Designnya lucu dan unik tapi untuk menginap di sini disarankan jangan karena restorannya rameee sekali.
Penasaran dengan bentuk sangkar burungnya;Waiting list untuk duduk di bagian 'sangkarburung'.. Menu nya ternyata lumayan beragam dan rasanya enak. Harganya menengah keatas..staf nya cekatan.
good;just good. ngga sampai extraordinary. sy pesan grilled salmon dan cukup enak tapi potongannya terlalu tebal
Enak, Nyaman dan Terjangkau;Saya suka duduk berlama - lama di restoran ini. Tempatnya nyaman dan tenang. Menu makanannya cukup banyak dan enak - enak. Porsinya pas buat saya makan sendiri. Dengan porsi sebanyak ini, menurut saya wajar kalau harganya cenderung sedikit mahal. Kalau suka makanan sehat masa kini, mereka juga menyediakan makanan - makanan tersebut. Yang agak sulit tempat parkirnya aja.
Menu Eropa OOKD Outfit of the Day;Harganya sedikit lebih mahal tapi ok lah masih lebih murah untuk ukuran Jakarta. Jangan lupa sisakan kapling di perut untuk waffle nya sebagai penutup.
Makan di tengah kota;Tempat bagus namun sering penuh sehingga terlalu ramai untuk anda yang tidak suka suasana ramai. Harga agak mahal rasa biasa saja.
Restoran Cozy di Bandung;Restoran Hummingbird merupakan restoran yang menyediakan berbagai makanan terutama makanan bergaya Western dengan cita rasa yang berkelas dan unik. Interior restoran juga ditata dengan sangat indah sehingga sangat nyaman untuk tempat hang out ataupun bersantai.
unik;paling enk ke sini sama teman-teman se genk. minumannya unik-unik. masakan enak. harga sesuai dengan kualitas dan rasa
Nice;B&b yang menyenangkan, unik...makanan enak ..bersih kasur empuk..kerennnnn dan murahhhhhh...hanya saja sering full
cafe enak di progo bandung;Design interiornya unik sehingga betah untuk berlama-lama disini. Koleksi menu makanan lumayan banyak. Harga agak mahal namun sesuai dengan suguhan yang sangat enak. Kondisi cafenya bersih. Pelayannya ramah. Asyik untuk tempat hangout bersama kekasih ataupun teman-teman
Pastanya enak;Makanan disini banyak yang enak. Kesukaan saya pasta yang pakai dori dan coklat pudingnya. Minumannya agak mahal. Tempat nyaman.
cafe;menu sarapan paginya juara. porsinya besar, harga lumayan mahal, tapi sesuai dengan apa yg didapat.. minumannya juga enak enak.
