sep=;
title;text
Tempat Makan super tenang;Lokasi nya agak sedikit jauh seh... Tapi aku suka tempatnya karena sangat tenang seperti di pedesaan. Harganya masih cukup terjangkau namun perlu sedikit sabar menunggu pesanannya. Yang pasti tempatnya nyaman and tenang.
Makan Enak dan Nyaman;Jika ingin mendapatkan suasana makan yang tenang, nyaman dan nikmat. Datanglah ke Kampung Daun. Seakan anda makan di tengah-tengah alam perkampungan.
Worth coming for;Tempat yang sangat unik. Sebaiknya datang sore supaya bisa cepat dapat tempat duduk. Tidak disarankan untuk manula karena jalan menuju tempat duduk cenderung berbatu dan agak gelap di malam hari.
tempatnya bagus;Disini lebih baik datangnya malam saja, karna suasananya dingin dan tempatnya bagus sih menurut saya. cuman untuk makanannya biasa saja. ngga ada spesial juga.... hanya tempatnya bagus untuk di kunjungin.
Suasana Pedesaan;Sesuai dengan namanya , suasana di kampung daun sanga asri sdengan konep pedesaan yang hening, sejuk dan indah . Suasananya sangat romastis dan menenangkan apalagi jika datang dimalam hari selain suasananya, makanan nya disajikan pun enak dan variatif.
Lebih Seru Malam Hari;Kl mlm hari suasana kampung daun lebih ok, tapi terkadang lebih ramai. Saya lebih suka table yang diatas, agak capek sih, tapi lebih private. Jujur makanannya biasa aja, gak ada yang istimewa. Tapi tempatnya ok banget.
Unik;Suasana kampung daun pada malam hari keren banget!! Perasaan seperti dibawa ke pasar malam yg ada di desa.... Good job!x Untuk makanan, sorry ya, standar saja... Banyak yg jauh lebih enak. Mungkin saya akan kembali membawa teman atau kerabat dari luar negeri utk datang ke sana... Lupakan sejenak mengenai rasa masakan... Rasakan suasananya.. Awesome!!
Nice place;Tempatnya sejuk dan asri...bny yh rela antri u/bisa makan disini. Makanannya lumayan dan hrg sedikit mahal..tp klo bwt relax bsm keluarga rekomended bgt
Ambience dan rasa;Suasana lembah dg air terjun kecil yg luar biasa dg makanan yg kualitasnya OK, serta harga yg pantas. Hidangan masakan tradisional yg cukup mewakili Jawa barat.
Kanpung daun;Kampung daun lokasi nya di ujung dan dalam perunahan. Kita masuk ke lokasi kampung daun dari luar jalan sudah banyak jualan di punggir kiri kanan jalan seperti jajanan z kemudian baru restoran nya umumnya masakan sunda. Madajan nya biasa-biasa tak ada yg special pelayanan biasa saja.
Eksotis Restoran pada malam hari;Kami berkunjung ke restauran ini pada malam hari. Wow, tempatnya sangat romantis. Lilin, jalan mendaki, konsep lesehan di tengah suara air terjun yang cukup dekat membuat suasana makan lebih nikmat.Jika anda datang ke tempat ini sebaiknya booking dulu karena waktu kami ke sana, kami menunggu 5 menit-an sebelum kami dapat tempat makan. Menuju ke dalam tempat makan, kami berjalan naik, sebelah kiri dan kanan banyak tumbuhan seperti makan di tengah hutan. Sesampainya di tempat makan, konsep lesehan dengan disediakan bantal agar lebih nyaman. Bisa tiduran juga karena tempat makan cukup besar.Memesan makanan dengan menggunakan kentongan untuk memanggil petugas. Pesanan kami tidak terlalu lama datangnya.Kami pesan dengan makan untuk 3 orang dewasa dan 2 anak-anak. Sedikit terkejut karena satu porsi cukup banyak untuk satu orang dewasa. Makanannya enak-enak dan bervariasi. Menurut kami harga yang ditawarkan tergolong wajar. Mungkin yang sedikit mahal adalah kerak telor.Bagi yang membawa anak-anak pasti senang karena mereka bisa menyaksikan air terjun dari dekat sambil makan.Sewaktu pulang kami ditawarkan brokoli dengan harga yang terbilang wajar dan patut dibeli jika anda suka dengan brokoli.Lain waktu kami pasti akan mampir ke Kampung Daun
Tempat makan yang bikin betah !;Nyaman, bersih, makanan yang enak, dan sejuk ! Saung-saung yang nyaman lengkap dengan bantal dan guling, suara air mengalir juga alunan musik sunda. selain tempat dan makanan yg enak, yang berkesan dari tempat ini adalah petugas toilet yang sangat ramah.. :)
Luar Biasa;Tempat yang wajib dikunjungi di daerah Lembang Bandung, termasuk restoran mewah dengan berbagai variasi makanan, tempat gubukan2 yang begitu nyaman dengan kucuran air mancur sehingga membuat kami betah berlama lama disini
tempat makan dengan keindahan alam;kampung daun ini sangat bagus untuk dikunjungi pada malam hari saat ada di lembang karena suasana sangat asri sekali, dan dingin, pokoknya cocok untuk habiskan waktu dengan keluarga
Rumah Makan Sunda Yang Eksotis;Ke Bandung tentu tidak boleh lupa menyantap masakan Sunda. Nah, masakan Sunda terbaik saat ini dapat ditemukan di Kampung Daun. Suasana rumah makannya homy, menu sangat bervariasi dan dihidangkan dengan cepat. Rasa dijamin kelezatannya.
suasana makan alami;Tempatnya alami dan menyatu dengan alam. Makanannya enak walaupun mahal tp worthed. Tenang suasananya, ditambah suara air sungai semakin membuat rileks dan berlama-lama disana.
Good view;Setiap ke bandung saya selalu ksini t4nya bagus dan nyaman. Udara disini dingin. Alamnya kerasa banget. Makanannya lumayan
Enak, Sejuk dan nyaman;Salah satu dari sekian banyak restaurant khas sunda yang rasa masakanya enak, bervariasi, dengan tepat yang sangat sejut dan nyaman. sangat cocok untuk menu keluarga.
nice view;enak buat jalan jalan, apalagi pas malam malam. tapi kalo buat makanan saya rasa biasa aja. pernah order gurame bakar, guramenya sedikit overburn. kalo tujuan utama buat makan sih biasa aja mending cari tempat lain, tapi kalo jalan jalan, emang ini tempat bagus pemandangannya.
tempat makan yang natural;tempatnya natural, dekat dengan alam, apalagi pada sore menjelang malam saat suhu mulai sejuk dan lampu2 mulai dinyalakan. Makanannya pun ada pilihan tradisional
Cozy place;Pemandangan di kampung daun cukup indah dengan konsep traditional..Pelayannya pun ramah..Untuk makanan cukup standar, tidak ada yang istimewa...
Romantic;Tempat ngumpul yang romantis... datanglah pada waktu malam hari, suhu yang dingin di keremangan malam menambah suasana romantis. Kami selalu ke kampung daun jika liburan ke lembang.
