sep=;
title;text
Harga standar rasanya enak;Disini kita pesen Steak sebagai menu utamanya.. Rasanya enak.. Harganya standar.. Minumannya pesen yang pitcher bisa buat berdua.. Makan disini termasuk hemat untuk ukuran jajan Steak dengan rasa yang nagih .. (nagih pingin ksini lagi coba rasa yang lain)
cozy for hangout;tempatnya cozy banget dan makannya pun terjangkau serta enak apalagi steak dengan saus arabiatanya beuhhh cocok banget deh
worth;komentar saya keseluruhan worth, untuk harga lumayan tinggi tapi sebanding dengan porsinya, kebetulan waktu itu untuk minumannya juga ada yg share menu, service nya cepat, pengantar makanan hanya 15 menit( sepertinya lebih cepat malah). cocok buat penggemar daging,
Sedikit mengecewakan;Tempat nya strategis.. porsinya banyak dan enak.. saya sudah beberapa kali kesana.. namun kesan terakhir saya tgl 3 januari pas makan malam.. memang ramai.. dan sedikit dibentak oleh pelayan yang sedang berjaga di pintu.. karena saya meminta waiting list di meja yg smoking area tapi sedang full ... yaahh saya langsung pergi saja.. mungkin pelayan nya sedang pusing dengan banyak pengunjung.
Tempat hang out untuk kaula muda;Tempat hang out yang cukup baik dan penyajian makanan nya ada yang unik. Sayang antrean selalu panjang.
Love it;Porsi cukup besar buat saya, rasa ok lah dan harga masih cukup diterima dompet, asal ga setiap hari saja. Interior so so macam di dapur nenek sesuai dengan varian menu yang ditawarkan. Kalau ke bandung layak untuk dicoba.
steak enak dan murah;kami makan siang di karnivor setelah malam sebelumnya datang tapi antri panjang sekali sehingga harus kembali esok harinya. Steak dengan cita rasa tinggi dan harganya cukup murah. Jika ingin mkan malam sebaiknya memesan tempat terlebih dahulu
Saus arabiata tiada duanya 👌;Setiap kali maen ke kota Bandung, makan di Karnivor selalu menjadi tujuan utama. Menu menu grill (daging bakar) disini selalu menggugah selera. Mulai dari berbagai steak (sapi atau ayam) berbagai ukuran (ukuran normal Dan monster). Harganya juga terjangkau banget. Satu porsi sirloin steak hanya 59 ribu saja.. Dan 1 porsi monster steak (daging sapi 1kg) hanya 299ribi saja. Minuman favorit untuk menemani makan steak yaitu gorilla punch (jeruk soda dengan biji selasih) dengan harga 39K saja. Namun kota harus bersabar ketika makan di resto ini ketika musim liburan, karena sudah dipastikan mengantri. Tetapi lamanya antrian akan terbayar dengan hidangan yang disajikan.
Sangat Enak!;Saya berkunjung kesini saat sedang berwisata dengan teman. Salah satu sahabat saya lalu merekomendasikan Karnivor untuk makan malam. Suasana di resto ini sangat cozy dan nyaman. Selain itu, semua menu yang kami pilih ternyata sangat enak, Steak nya sangat empuk dan well made. Saya paling suka Donut Steak nya yang mensubtitusi burger bun dengan sugar glazed donut. So yummy!
Steak Yang Enak;Lokasinya di Jalan Riau, venuenya lumayan ok, decornya bergaya hutan. Waktu saya kesini lagi ramai bgt.Untuk makanannya saya suka Sirloin Steaknya, enak. Harganya juga murah menurut saya.
Ready for the Wild?;Kapan lagi nih bisa makan steak seberat 1kg hanya dengan 200rb'an.. harga pas di kantong dan suasana yang mendukung membuat sisi keganasan manusia kita keluar. Selain steak 1kg juga ada sosis yang beratnya juga 1kg. pas dibuat nongkrong bareng temen atau berdua dengan kekasih.
Tempat makan steak ok di Bandung;Bagi orang sekitar Jakarta mungkin biasa dengan Holicow! nya untuk pilihan hidangan steak. Di Bandung restoran ini mungkin memiliki konsep mirip dengan holicow!.Makanan utama yang disediakan utamanya adalah steak dengan berbagai pilihan. harga juga standarLokasi cukup strategis di kawasan Factory Outlet jalan Riau. Jadi setelah puas berbelanja dapat mampir kesini untuk mengisi energi.Suasanya cukup nyaman serta staf restoran yang sangat membantu.
Dagingnya empuk;Terletak di jalan Riau, sebelah Nanny's. Steaknya cukup empuk. Saya memesan steak yang 1kg untuk 4 orang ternyata kelebihan. Cukup untuk 6 orang tapi karbohidrat nya cuma 4 potong potato wedges. Sayurannya terlalu sedikit dan saucenya dikit banget buat sekilo. Harganya worth it dan pelayanannya ramah banget:)
Steak Murah Meriah Bandung;Lapar ketika malam hari, saya saat melintas jalan Riau melihat restoran yang sangat ramai akhirnya saya memutuskan untuk mampir. Saya cukup kaget karena harga sirloin hanya Rp 45 ribu, Saya pikir porsinya akan kecil, ternyata dugaan saya salah, rasanya enak dan porsinya cukup.
Kuliner bagus di daerah bandung;Ketika saya liburan ke bandung tepatnya di jl. Progo. Saat makan malam saya berjalan menikmati indahnya kota bandung. Saya menemukan restoran dengan view lumayan menantang.sangat bagus restorannya semuanya di desaib rapi dan bersih. Baik food and beverage nya sangat enak fresh dan variasi. Sangat bagus untuk kalangan tongkrongan teman2. Great restaurant in bandunh
Desain Interior Menarik;Suasana restoran didesain seperti halloween, sangat menarik di malam hari. Cocok untuk makan bersama teman-teman. Sayangnya ketika siang hari agak gerah.
Steak Murah yang Tidak Murahan;Karnivor yang berlokasi di Jalan Riau (Martadinata) adalah salah satu resto favorit saya di Kota Bandung. Kapanpun waktu berkunjungnya, parkirannya selalu penuh, membuktikan betapa larisnya tempat ini. Ambience di Karnivor sangat menyenangkan, mengambil tema jaman batu ala-ala Flintstone dengan penerangan lampu yang temaram, dipisahkan pula area smoking dan non-smoking. Rekomendasi saya adalah tenderloin steak (49k) dan t-rex bone / rib eye (79k) dengan saus mushroom dan kentang keriting (kentang dipotong tipis lalu digoreng, rasanya seperti potato chips), dessert favorit adalah ORO yaitu roti goreng dengan isian oreo yang diberi topping keju dan meises, sedangkan untuk minumannya cobalah gorilla punch yaitu minuman menyegarkan dengan citarasa markisa yang disajikan dalam pitcher.
