sep=;
title;text
Cozy place;Tempat ini cocok banget utk kumpul2 bersama teman ataupun keluarga. Jika ingin makan sambil melihat view yang bagus, kamu hrs pilih spot di balkon. Namun krn waktu aku dtg sedang hujan, tmpt itu mjd tdk dpt digunakan. Makanannya enak, pilihannya banyak, harganya oke. So, jgn lupa mampir yah guys!
Tempatnya Bagus;Saya suka dengan tempat ini, sangat homey dan modern. Makanannya juga enak, saya pernah coba pizza primaveranya, cocok untuk yang veg.
Recomended;Jika berlibur ke Bandung jangan sampai melewatkan datang ke Restoran yang satu ini, terletak di kawasan Lembang, lokasi yang strategis membuat mudah untuk menemukannya, harga juga standar tidak terlalu mahal, minum khas Favourite saya adalah Mojito yang segar
restoran dengan design unik;maja house lembang bandung. konsepnya lumayan unik. waktu itu makan steak rasanya biasa saja. pilihan menunya cukup banyak, dari menu asia sampai menu eropa. harga lumayan mahal. yg utama tidak bisa membawa kursi roda. karena untuk menuju resto harus menaiki tangga kurang lebih 2 lantai. tidak ada lift.
Tempat yg nyaman dan view yg bagus;Makan di maja house paling cocok di sore hari menjelang malem sambil nenikmati sunset dan view kota bdg, makannya enak dan pelayanan yg ramah.
Recommended!;Harga tidak mahal. Pemandangan bagus dan alami. Cuaca dingin jadi jangan lupa pakai baju tebal. Tempatnya sangat nyaman. Makanan lumayan enak.
Venuenya Sangat bagus;Saya datang kesini sore hari, pemandangannya sangat bagus, kita bisa naik lift ke rooftopnya. Kebetulan pas saya kesini tidak terlalu ramai. Makanannya lebih banyak western, rasanya juga enak. Saya coba steak and eggnya. Servicenya ok, dan harganya juga terjangkau.
relax;malam wedding anniversary kami rayakan disini. suasana hujan, jadi bagian outdoor lantai serta meja kursi bsah. kami mengambil tempat yang ada kasur mini. lumayan bisa rebahan. Tempatnya enak. Banyak anak muda kaya kesini. Kami pesan sop konro dan iga bakar. Rasanya enak. harganya pas. makanan berat diatas 50ribu. cuma dia juga jual alkohol. mudah-mudahan masakannya halal
Good view;Tempatnya bagus, selain menyediakan makanan yg enak, tempat ini juga menyediakan view kota bandung. Tapi sayangnya saya datang pada malam hari dan pada saat hujan, jadi tidak terlalu terlihat oleh kamera
cafe yg kotor;cafe yg cukup indah namun sangat kotor untuk ukuran cafe saya mendapati banyak kotoran dibagian depan dibagian kasur untuk rasa standar dan harga pun tergolong standar
Menikmati malam di maja house;Makan malam disini salah satu yang terbaik menurut sayaBaik dari pilihan makanan dan tentu saja dari pemandangan yang anda dapat di resto ini Udara dingin menambah suasana makan malam anda lebih seruSerta pilihan menu yang sangat beragam yang ditawarkan di tempat ini
Restoran untuk tempat nongkrong;Kami mengunjungi maja house untuk grup dinner. Pada saat sampai di tempat parkir,udara di luar sangat fresh akan tetapi di dalam restorannya sendiri udara tidak fresh dan bau rokok,banyak orang merokok. Mungkin karena tempatnya memang untuk nongkrong. Untuk makanan,rasanya standar tapi porsinya kecil. Satu hal lagi yang mengganggu adalah meja untuk makannya berdebu. Pelayanan ok dan makanan cepat datang.
nice place for relaxing;Tempat ini mudah dicari karena terletak di pinggir jalan utama. Cukup menarik dan nyaman untuk sekedar menghabiskan waktu bersama teman atau keluarga. Makanan dan minuman yang disajikan lumayan. Harga juga tidak terlalu mahal.
Location & view ok;Lokasi tidak terlalu jauh dari jalan utama, view di malam hari ok tuk melepas penat dari jakarta... makanan rasanya biasa saja karena memang yang dijual pemandangan dan interior restaurant.
Services, Value and Cheat;Saya memesan bookingan untuk ulang tahun saya, dan tanpa ada konfirmasi staff Maja House langsung meng"cancel"kan bookingan saya. Setelah ditanya "Saya Pikir", Orang yang bekerja di perhotelan atau service tidak mengenal istilah "asumsi" semua harus jelas dan pasti. setelah itu berlanjut dengan pemesanan makanan, 3 tamu saya tidak mendapakan makanan sementara makanan kami sudah selesai dan dinyatakan "sold out" tanpa ada konfirmasi, worse case adalah mereka charge makanan yang tidak keluar dan minuman yang tidak keluar...think about it when you are going there, I feel like cheat it by them....
Cafe dengan suasana menarik di bandung;Saya datang bersama dengan teman2 ke bandung dimana kami mampir di maja house untuk menikmati makan malam sambil ditemani dengan dinginnya kota bandung. KAmi pesan pizza dan beberapa makanan pletter lainnya. Serta minuman beer dan coffee. Untuk rasa makanannya overall cukup enak dan minumannya juga berasa. Dimana untuk suasananya cukup bagus. Akan tetapi harganya sedikit agak mahal.
Tempat nyaman dan makanan enak;Awal Juli saya menginap di hotel Stevie G yg bersebelahan dgn resto Maja House...tempat yg nyaman tuk makan malam, romantis, makanan yg enak dan harga tdk terlalu mahal.Yang unik ada bale bisa buat tiduran menghadap ke pemandangan gunung malam hari.Menjadikan makan malam yg berkesan bersama istri tercinta.
Fantastic place;Hmmmm, akses tidak terlalu susah cuma, hati-hati yang bawa orang tua sepuh penuh dengan "trap"cukup tinggi menuju restauranya.sesampai di restaurannya, wuooow good enough, suasana yang menyenangkan . Terbagi menjadi 3 style : ada restaurant style, Cafe style dan lesehan. Makanan cukup variatif , tease OK,, but too small portion .Yang saya pesan Iga bakar daging over cook, terlalu empuk .Pa Deny mungkin "head" di tempat itu cukup cooperative,dan cukup ramah .Recomended deh ....
Restoran Fancy dengan Harga Bersahabat;Menginap di Stevie G Hotel saya memilih untuk makan malam di Maja House yang cukup tersohor. Pilihan makanan bervariasi dari Indonesia, Asia hingga Internasional. Saya memesan mixed grill yang berisikan lamb, beef, sausage, chicken dengan harga 80 ribuan, cukup murah untuk restoran yang berada di atas. Saya duduk di sofa bed yang menghadap ke pemandangan. Sangat nyaman untuk berdua dengan pasangan.
