sep=;
title;text
Suasana yang beda.;Setelah pulang dari Farmhouse..akhirnya kami sekeluarga mampir makan siang ke resto yang jadi pembicaraan teman"...lokasinya agak masuk ke dalam...tp berkat kecanggihan waze akhirnya ketemu juga (Terima kasih Waze). Suasana yang berbeda begitu memasuki resto ini sejuk dan nyaman. Sayangnya pada waktu kami tiba tempat di ruangan kaca penuh...akhirnya kami duduk di outdoor . Langsung kami memesan makanan sesuai dengan keinginan masing" antara lain macroni n cheese, pizza cheese, caesar salad dan pasta. Makanan disantap habis...tp yang paling rekomen Pasta dan Pizza Cheese yang jadi juara. Saran untuk pengelola kedepannya untuk lokasi meja outdoor antara ruang kaca dan bangunan utama dipebanyak tanaman agar kalo santap siang di lokasi tersebut lebih sejuk.
Recommended Place;Lokasinya strategis, tenang suasananya, dan hawanya sejuk. Meskipun harus masuk waiting list yang lumayan panjang (karena datang pas makan siang) tetapi menjadi tidak membosankan untuk anak2 karena ada halaman yang bisa buat bermain.Overall...semua makanan dan minimuman yang kami pesan sangat puas dan ternyata porsinya besar dan sangat mengenyangkan. Alhasil, ada satu menu yang tidak tersentuh akhirnya kami take away...Pasti bakal balik lagi
nice place for lunch;Selain Glass House yang langsung membuat resto ini menarik, design elegant didalamnya jg membuat betah. Walaupun glass house namun didalam tetap ruangan ber AC sehingga nyaman. Lokasinya memang agk didalam perumahan.Namun ada taman yang ada kandang kelinci jg, cocok untu yg memiliki anak.
Makan siang;Sesampai di kota Bandung, kita sekeluarga langsung makan siang menuju restoran missbee. Anak-anak suka disini karena ada playground kecil dan taman kelinci. Untuk makanan rasanya cukup enak. Udara pada waktu kita datang sedang mendung sehingga sejuk.
Banyak lalat;Sudah berkali-kali kesini tetapi kedatangan kali ini mengecewakan. Lalat banyak sekali walau sudah pakai 2 lilin. Perlu diperhatikan bagaimana mengusir lalatnya.
makam malam di miss bee;makan malam bersama teman-teman di miss bee tempatnya berada di daerah ciumbuleuit untuk interior bangunan memakai rumah jaman dulu yang di modifikasi dengan menambahkan beberapa bangunan tambahan waktu itu kami memesan pizza untuk berempat untuk penampilan pizza nya kurang begitu menarik tapi rasanya enak banget. untuk minumannya yang greentea seger banget. pelayanannya lumayan oke..view untuk foto-foto juga lumayan oke.boleh dicoba untuk petualang kuliner.
Nice place;Saya datang ke sini untuk sarapan bersama keluarga. Anak-anak langsung menyukai tempat ini karena ada arena bermain di halaman depan dan juga di belakang. Beruntung saat kami datang langsung mendapatkan tempat dan pelayanan karena bila membaca beberapa ulasan tak jarang tamu harus rela mengantri.Pilihan menu kami: Battela Stuffed French Toast, Corned Beef Sandwich dan Smoked chicken fried rice, ditemani dengan Cafe Latte, Caramel Latte, Hazelnut Creme Brulee dan Ice tea. Semua habis tak bersisa kami santap. Enak dan cukup besar porsinya untuk sarapan.Mungkin kami akan kembali untuk makan siang atau makan malam dengan menu yang lebih bervariasi.
Resto cafe yang nyaman dan enak;Kami datang sore hari untuk minum kopi dan menikmati dessert. Tempat ini sangat ramai pengunjung sehingga kami harus mengantri walalupun di luar jam makan. Kualistas makanan dan minuman baik dan harganya sedang
Kids Friendly, Suasana yg menyenangkan;datang bersama keluarga, ada cake shop kecil, agak mahal untuk cake tapi enak. Beberapa menu makanan enak, porsi cukup, harga diatas rata-rata tapi suasana sangat menyenangkan, terutama kalau datang beramai-ramai, ada playground diluar & didalam, anak-anak kecil tidak akan bosan.....
Tempat yang sangat menyenangkan;Datang ke Miss Bee pagi hari ternyata sudah ramai untuk sarapan. Terletak di ketinggian, Miss Bee memberikan suasana sejuk, tersedia beberapa ruangan untuk makan, yang unik tentu di rumah kaca. Keseluruhan menu sangat bervariasi termasuk makanan Indonesia dan barat. Menu sarapan juga cukup variasi, porsi cukup besar, rasanya cukup enak, selain sarapan di tempat, saya pun memesan makanan untuk dibawa pulang. Ada rabbit hole dan sekitar 5 kelinci yang dilepas, sangat lucu dan menarik perhatian anak kecil, juga terdapat area bermain anak. Sangat menyenangkan
makanan enak dan tempatnya menyenangkan;kami sekeluarga (5 dewasa dan 1 anak balita) berkesempatan untuk duduk di rumah kaca. walaupun siang hari tetapi tak terasa terik dan panas.semua makanan western enak, tetapi untuk masakan iga bakar agak keras dagingnya.anak bisa bermain perosotan dan jungkat jungkit.sayang saat weekday kelinci-nya tidak dikeluarkan dari kandang, jadi anak tidak bisa berinteraksi dengan hewan
Tempat nongkrong yang makanannya enak;Disini menu pilihannya banyak. Udaranya segar. Tempatnya cantik. Makanannya enak-enak terutama Fish n Chips nya. Patut dicoba. Cakenya setelah jam 6 sore beli 2 gratis 1 (hari minggu saja)
Harus kesini!;Setelah kamu mengunjungi Padma Hotel Bandung, tempat ini harus kamu kunjungin. Pas bgt untuk quality time bareng keluarga, pacar, dan sahabat. Banyak spot2 untuk foto. Pelayanan ramah & cepat tanggap.
Enak, pemandangan bagus;Setiap ke Bandung pasti menyemptkan diri untuk kesini. Suasana resto nya menyenangkan, dekorasi bagus, dan tersedia playground kecil untuk anak-anak bermain di bagian belakang. Untuk rasa makanan, cukup enak. Porsi dan harga sebanding...
Pesan tempat dari awal;Karena antrian untuk makan disini cukup panjang, jangan coba-coba unutk datang langsung tanpa reservasi karena akan lama untuk Anda dapat tempat duduk, terutama di saat akhir pekan. Hidangannya berupa menu fusion Asia-Western dengan cita rasa yang bervariasi dan enak. Minumannya juga banyak yang menarik. Kopinya lumayan.Rumah kaca dan tempat bermain anak yang menjadi daya tarik tempat ini juga.
