sep=;
title;text
Kunjungan untuk perayaan ulang tahun;Makanannya yang memiliki porsi besar, cocok untuk anda yang makanya banyak hehe. kemarin kami makan disana dalam rangka perayaan ulang tahun
Restoran dengan interior unik;Jika anda hendak naik ke Lembang dari arah Pasteur coba lah mampir ke restoran ini. Sebagian besar menu yang ditawarkan adalah menu seafood. Rasa yang ditawarkan cukup enak. Restoran cukup luas dan terdapat taman-taman dan kolam sebagai pelengkap santap siang. Di sisi lain saat masuk kita disambut dengan koleksi-koleksi restoran berupa batu-batu unik. Begitu pula dibagian lain interior-interor dihiasi dengan pajangan-pajangan yang cukup unik.
Restoran makanan Sunda dengan koleksi benda antik;Restoran ini bangunannya cukup cantik. Di dalamnya terdapat koleksi benda benda yang unik dan antik. Makanannya sendiri terutama makanan Sunda. Kami mencoba gurami bakar dan kangkung. Citarasanya cukup enk tapi cenderung manis. Harganya premium sesuai kelas restoran.
Mayoritas menu seafood, hanya sedikit sundanese;Menunya 80% adalah menu seafood jadi sebenarnya lebih ke seafood restaurant daripada sundanese restaurant. Pemiliknya satu grup dgn Raja Sunda. Harga tergolong lebih tinggi drpd di Raja Sunda, dan tidak disediakan lalapan gratis maupun kerupuk aci gratis. Yg disediakan gratis hanya kerupuk gendar dan sambal.Karedoknya enak. Tahu goreng bumbunya isinya kosong seperti makan kulit tahu saja, didalamnya kosong. Genjer teri: sangat berminyak dan terinya sangat sangat asin. Kalo mau makan sunda lebih baik ke Raja Sunda dgn menu yg lebih bervariasi.
Seafoodnya Enak;Saya Makan disini bersama keluarga besar saya waktu lagi jalan2 ke bandung. Rasanya sih lumayan,harganya masih affordable. Venuenya juga bagus, ada kolam yang berisikan ikan2.
restoran Sunda di kawasan sentrasari Bandung;Tempatnya tidak terlalu luas, akan tetapi di dalamnya ada beberapa pilihan. Bisa makan di tempat duduk ataupun lesehan (ada pilihan di ruangan yang agak sempit atau di ruangan yang agak luas). Selain tempat parkir di lokasi resto ada disediakan tempat parkir di seberang resto.Untuk makanan yang patut dicoba adalah gurame goreng fillet, ayam goreng, ayam bakar dan tahu krispi.Hmmm ... nikmat.Oh ya suasananya di restoran ini, cenderung ke tradisional sunda. Ada beberapa ornamen pajangan seperti angklung yang Sundanese banget. Minusnya paling hanya lokasi yang agak tersembunyi(dalam artian bukan di jalan besar) akan tetapi tidak terlalu sulit untuk mencapainya karena tidak jauh dari pintu tol pasteur dan di dekat Sentrasari Mall. Selain itu lokasinya tepat di pojokan perempatan yang cukup ramai, dengan jalannya yang kecil.
Restoran enak;Restorannya bagus, tempatnya nyaman dan makanannya juga enak-enak. Viewnya bagus, ada kolam ikan yang ikannya gede-gede. Lokasinya lumayan strategis, dekat dari pintu tol pasteur. Cocok untuk tempat makan bareng keluarga
Nggak enak....;Makanan biasa aja.nggak mahal juga nggak murah.kurang sreg bumbunya.minumnya juga biasa aja.nggak ada yang istimewA
Gurame goreng fillet two thumbs up;Tempat yang bagus, bisa melihat kolam ikan koi, boleh coba gurame goreng garing yang terkenal. Daging gurame yang difillet lalu digoreng satu per satu sangat enak. Cumi bakar isi cukup terkenal disini
Good food;Kami sekuarga sering juga ke raja rasa sea food restoran ini . Makanan nya enak yang biasa oesan afalah udang windu bakar nya
So so;Kayanya seperti Rumah yang diubah jadi tempat makan. Namun tempat makan berupa lesehan . makanan sih Sunday plus seafood
restoran elit, rasa yg elit;restoran untuk kalangan menengah ke atas...makanan dan minuman dengan harga yg tidak akan mungkin dicoba oleh MBR.tetapi, rasa tidak akan dapat dicundangi oleh harga.. bnyak tempat makan dengan harga terjangkau, namun dengan rasa istana.Utk Raja Rasa, memang makanannya seperti makan di istana (emang pernah makan di istana jang????)
Biasa aja.;Gak ngerti ya kenapa resto ini menduduki peringkat 12 dari 1800an resto yang ada dibandung. Harga mahal! Lokasi tersembunyi, dan rasa makanan biasa aja. Jangan terlalu percaya sama review yang menyesatkan lah.
Resto Sedap di Lokasi Agak Tersembunyi;Seorang teman mengajak kami ke restoran sea food ini. Walaupun agak susah mencarinya di kawasan SUkajadi. Namun setelah menikmati makanannya kami tidak menyesal. Hidangan lautnya banyak pilihan dan bumbunya lua biasa. Selain itu ada angklung elektik yang bisa bernyanyi sendiri.
Makanan yang enak;Makanan di Raja Rasa sangat memuaskan. Resto Raja Rasa terletak di sebelah hotel Zodiak Sutami. Makanan sunda mengadi kegemeran saya. Seafood di Raja Rasa sangat segar dan saya pasti akan ke sini lagi. Terima Kasih
makan enak;Saya kesini sama keluarga, makanan nya enak dan seafood nya segar, ga bau amis juga. Untuk harga bisa dibilang lumayan mahal
Makanan enak;Jika ke bandung anda tak ke raja rasa berarti kurang komplit. Tempat nya strategi, decorasi nya bagus. Dan Udang bakar , ayam goreng enak ....
Angklung Hantu di Resto Seafoof;Lokasi agak sesikit tersembunyi do lawasan Sukajadi Bandung Utara. Namun restotan seafood ini merupakan salah satu tempat favorit untuk menjamu teman bisnis.Selain pilihan menu yang lengkap dan bervariasi dan tentu saja memanjakan lidah, suasana resto juga apik dengan pelayanan prima.Namun yang paling mengesankan adalah dekitasi serta adanya sebuah angklung elektronik yang bisa memainkan lagu-lagu secara otomatis. Merinding hayi dan jiwa mendengarkan lagu Rayuan Pulau Kelapa dari angklung hantu ini
Tempat pilihan untuk cita rasa Indonesia;Saya membawa tamu saya dari Korea yang ingin mencoba makanan Indonesia. Raja Rasa memiliki suasana yang nyaman, variasi menu makanan Indonesia yang beragam (meskipun mayoritas adalah masakan Sunda dan Jawa), kualitas rasa yang baik, penyajian makanan yang menarik.Tamu saya merasa nyaman dengan tempat dan variasi makanan yang disajikan dan sangat terkesan dengan pedasnya cabe rawit yang luar biasa pedas.
