sep=;
title;text
Menu Jepang yang Megang;Saya mengajak tamu berkebangsaan Amerika menjelajah resto-resto terbaik di Bandung, dan result nya: pertama Padang Sederhana, kedua SushiTei. Katanya, bahkan sushi nya lebih enak dari yang pernah dia makan di Tokyo... Penyanyiannyajuga very artfull, harganya memang mahal namun sepadan dengan kualitasnya. Siap-siap antri aja kalo mau makan disini
selalu senang makan di sini;tempat favorit untuk kongkow bersama teman-teman. dan kalau dibandingkan harga di sini jatuhnya lebih murah. pertama kali duduk di atas karena penuh. lucu juga dpt suasana berbeda walaupun jadi susah manggil pelayan.. hehe.. diskon anz 15% mega 20%.. lumayanlah
Sushi Di Bandung;Saya lumayan sering kesini, apalagi waktu Jeeves Laundry masih ada. Abis ambil baju pasti mampir kesini. Kualitas sushinya hampir sama dgn Sushi Tei Lainnya. Saya suka Salmon rollsnya. Tempatnya nyaman dan staffnya juga ramah2.
Restoran sushi favorit;Pertama kali saya ke sushi tei di TSM Bandung. Saya kesini pada hari minggu, antriannya cukup banyak namun kebetulan saya datang sendiri dan oleh pelayannya dengan cepat diarahkan ke sushi bar. Menu favorit saya adalah salmon sashimi, kacang edamamenya enak, juga menu roll sushinya yang juga enak ditambah free ocha yang bisa di refill sama sperti di restoran sushi tei dimanapun yang pernah saya kunjungi.
My fav sushi;Pertama kali belajar makan sushi ya disini, sushi tei. Deg2an karena takut aneh rasanya. Apalagi yg mentah. Tapiiiii, pertama nyoba ternyata enak bgt. Pertama emang rekomen temen katanya kalau mau makan sushi pertama kali makan dulu yang mateng. Udah terbiasa baru coba sashimi. Dannnn, memang enakkk. Dari situ rajin dateng ke sushi tei. And addict... :D selama ini aku emang makan sushi cuma di sushi tei. Belum nyoba yang lain. Percaya karena rasa dan kesegarannya. So i recommended :)
Sushi Tei;ini adalah restoran sushi favorit anak saya..cabang paling sering saya kunjungi adalah yang di TSM atau yang di Sukajadi..onigiri yakiniku menjadi menu yang wajib dibeli..bisa habis 5 porsi sendirian itu sangking enaknya..ini sushi terbaik..makyus wis pokoknya..tempat nyaman..hanya kadang kalau terlalu penuh pelayanan menjadi kurang baik..perlu ditingkatkan di sektor SDM terutama pelayanan dan service..
Yam yam yam enak;Paling TOP sushinya. Pelayanannya pun cepat. Disini aneka roll nya maknyus. Nebayaki udon dan salad-nya juga bikin nagih.
Best favourite...;Sushie tei... aku suka makan ditempat ini bareng istri.. seringnya yg dijalan sumatera sama yang di tsm.. lebih enak makan di sushi bar nya... kita bisa pilih menu sesuai yg kita mau.. menu favoritnya fuji roll.. baby octopus.. dinamite roll.. makanannya sendiri saya rasakan fresh n delicious..
Selalu memuaskan;Ini restoran kesukaan kami kalau lagi bingung makan dimana. Sushinya pilihannya banyak dan relatif murah dibanding di resto jepang dgn kualitas yang sama. Nabeyaki udonnya jg top!
Beef teriyake;Kami sekeluarga sering sekali berkunjung ke Shushi tei japanise restoran ini . Untuk saya pribadi hanya pesan nya beef teriyaki . Cucu. Anak saya lebih suka salmon nya .
sushi ny yummy;Klo mau makan sushi wajib ke sushi tei..menu kesukaan saya fried salmon skin,fried garlic rice with chicken, pastiny dilengkapi sama sushi..ga pernah bosen deh makan di sushi tei..
Masakan Jepang;Tempat paling pas buat pengemar masakan Jepang, rasanya enak, tempatnya asik dan yang pasti harga terjangkau. Dan Teh Oca nya kita bebas isi ulang.
Sushinya paling enak di Bandung;Ini tempat makan kesukaan saya dari dulu sampai sekarang. Sushi roll nya enak-enak. Sayang baru kali ini saya dapat sushi roll yg ukurannya lebih kecil dari biasanya dan chicken katsu currynya nasinya keras dan sudah dingin. Biasanya nasinya masih panas dan empuk.
For Sushi Lovers;Bagi anda yang sangat suka dengan masakan khas Jepang terutama Sushi, anda bisa mengunjungi Sushi Tei. Resto ini bisa ditemukan di banyak daerah, biasanya ada di dalam mall atau store tersendiri. Nuansa resto dibuat khas Jepang, makanannya cukup beragam tidak hanya sushi. Harganya tergolong menengah, mungkin dikarenakan tempatnya ya kebanyakan terdapat di mall.
Restaurant jepang paling enak;Selalu tidak mengecewakan. Seaweed saladnya enak. Salmon crispy mentai sushinya juara. Salmon sashiminya harganya tidak terlalu mahal.
LOVE the ambience and the FOOD!;Beberapa hari lalu habis dari Sushi Tei, ke Sushi Tei bisa sampai 2 atau 3 kali sebulan, sukaaaa banget sama sushinya! sushi favoritku Spicy Salmon, their Hand rolls are great too! Spicy miso ramen super duper enak, sendirian suka ga abis, karena porsinya gedeee~ :D minumannya enak semua, karena menyegarkan, soalnya kl abis makan sushi ga bisa langsung dimakan semua, harus istirahat dan minum haha. definitely will come again! <3xx oh and their sushi is not so expensive
nice food;venue-nya nyaman. terletak di pusat kota. sayangnya jika datang di jam makan malam seringkali harus antri nunggu giliran karena tempat duduknya kurang. demikian juga kalau takeaway tetap harus nunggu lama. tapi pelanyanannya cukup baik
Tempat dengan ambience yg enak u/ makan sushi;Kali ini datang ke Sushi Tei u/ merayakan ulang tahun saudara, dapat free sushi.. Sushi yg lain juga enak, terutama salmon cheese roll nya.. Favorit kali ini..
Best sushi in town;Minggu lalu baru ke Sushi Tei.Tempatnya enak, suasananya juga cozy, menu makanan bervariasi.Kemarin saya mencoba Tuna Salad Crispy Mentai, Fuji Roll dan satu lagi lupa namanya.Semuanya enak, pas di lidah. Ice cream blueberrynya juga enak banget.Defineltely will come here again
Sushi dan sashimi;sushi dan sashiminya segar dan dengan harga yang tidak terlalu mahal, sushinya banyak jenisnya. berbagai macam masakan jepang
