sep=;
title;text
Sangat Bagus Di Malam Hari;Suasana di resto ini sangat romantis, waktu yang cocok adalah malam hari. Makanannya biasa aja, tapi venuenya luar biasa.
pemandangan indah dan makanan enak;cafe ini sdh lama...tapi tetap jadi salah satu tempat yg disukai....pemandangannya bagus...udaranya segar...makanannya enak.steaknya semua enak...cocok dilidah.tom yam nya juga enak....disini berlama lama sambil ngobrol dengan teman atau keluarga sangat nyaman....kadang bahkan cuma makan cream soup dan makanan ringan....
Romantis vs kualitas steak;Tempat yg romantis dan dg pemandangan yg luar biasa, namun Seharusnya menu yg mengandung nama resto menjadi kekuatan,namun sayangnya peak's tenderloin yg Saya konsumsi hari ini tidak sesuai dg harapan Saya.
Restoran Romantis;Restoran Mewah dengan nuansa elegant, view juga sangatlah indah dan keren, memang rate harga cukup mahal tapi terbayarkan karena makanannya enak dan pelayanan yang diberikan juga baik, lokasi terletak paling atas
Mr fauzi;Nice view,and delicious food,pelayanannya luar biasa ramah,hanya sayang mushala nya kecil sekali,kebetulan kami dtg pas magrib,mungkin pihak management the peak bisa dipertimbangkan utk perbaikan mushala nya
sudah lama tidak kesini;sewaktu kita pergi restorannya cukup sepi, mungkin dikarenakan setelah liburan tahun baru. chicken cordon blue nya enak.
baik banget servisnya;servisnya bagus, makanannya enak, pemandangannya luar biasa, walaupun sedikit mahal harganya, sebanding kok harganya dengan makanan dan servis
Resto Romantis dengan View City Light;The Peak sangat cocok untuk merayakan saat-saat istimewa karena tempatnya yang spesial. Harga restoran ini relatif mahal, sebanding dengan pelayanan dan makanannya yang berkualitas baik.
The Peak;The Peak, lokasinya ckp jauh dr pusat kota Bandung, menelusuri jln Setiabudi sp terminal Ledeng, ambil belokan ke kiri, trus menelusuri jln tanjakan (jalanan aspal rusak & sempit), sejauh belasan km kita akan memaduki perumahan/villa mewah utk menuju ke The Peak, resto modern ala western yg terkesan mewah ini menyediakan makanan/masakan western, btw, sop buntut juga ada, dgn pemandangan kota Bandung yg sangat menakjubkan, khususnya di malam hari
Not bad. But overpriced;Secara keseluruhannya sih bagus. Karyawanya juga ramah ramah. Dan pemandangannya bagus. Tapi makanannya terlalu mahal. Mahal banget malah. Dompet harus tebel.
Resto di Bandung Dengan View yang bagus;Saya sangat suka sekali suasana di resto ini, sangat comfy apalagi di malam hari. Staffnya ramah, menyempatkan becanda dengan anak2 saya. Walaupun agak sedikit mahal compare to others, tapi enak. Pastinya akan kembali lagi kesini.
Restoran yang menyenangkan;Sempat bingung juga menemukan restoran ini karena malam dan hujan..kami mendapatkan tempat duduk sofa dengan pemandangan kota lembang. Saat datang kami lsg disambut oleh pelayan dan menyodorkan menu. Makanannya pun cepat datang. Pelayanannya juga saat itu cekatan dan ramah. Hanya saja menu nya mungkin harus lbh diperbanyak agar lbh variatif.rasanya buat saya lumayan enak.overall kami senang makan malam di sini.
Mewah dan Menggagumkan;Ingin merasakan sensasi makan malam diatas bukit dengan pemandangan kota bandung yang gemerlap layaknya barisan bintang? The Peak jawabannya. Resto mewah yang di konsep sangat eleghan ini cocok untuk dinner romantis bagi pasangan, tetapi bisa juga untuk bersantai bersama sahabat atau keluarga. Sayangnya makanan di resto ini tidak cukup beragam, dan memiliki rate harga yang tinggi namun terbayar dengan kualitas pelayanan yang baik.
Lokasi di ketinggian puncak Bandung;Resto ini cukup luas, suasana sangat menyenangkan, pengunjung dapat melihat pemandangan kota Bandung. Menu makanan western dan Indonesian food. Harga sesuai kualitas dan pelayanan.
Menyenangkan;Terletak di tepi bukit, tempatnya luas, menyenangkan dan nyaman. Memiliki pemandangan yang memanjakan mata, seperti gunung, perkebunan, dan kota Bandung jika dilihat dari atas.Pegawainya cekatan dan ramah.Menu makanan di dominasi oleh menu steak walaupun ada juga menu nasi goreng, gurame, dll.Untuk rasa, tergolong standar, dengan harga yang cukup mahal.Restoran yang direkomendasikan untuk dikunjungi ketika datang ke Bandung.Terimakasih.
menikmati suasana Bandung dari ketinggian;Sangat cocok untuk tempat makan sambil ngobrol dengan teman atau keluarga, jika hendak melihat pemandangan lampu Bandung di waktu malam juga cocok, di sediakan berbagai menu makanan dan minuman, juga minuman beralkohol
Restaurant di atas bukit dago;Tempat romantis buat berduaan dengan pemandangan kota bandung di malam hari yg indah, makanan eropa nya pun enak rasa nya,
Restaurant yang sweet dikota bandung;Suasana disini sangat enak, makan diatas tebing dan udara yang dingin , dengan lantar belakang lampu-lampu kota bandung. restaurant ini sangat terkenal dibandung, untuk menu favoriteku beef steak karena steak disini real tanpa MSG
cafe yg indah;restoran yg cukup indah namun pelayanan yg kurang maksimalsaya harus beberapa kali memanggil pelayan untuk memesanuntuk rasa standar dan harga cukup tinggi
Pengalaman yg tidak menyenangkan;The peak, salah satu resto di daerah Lembang Kab bandung yg ingin sekali kami coba.Bersama suami kami sempat tersesat krn memang kami kesana malam hari dengan jalan sempit dan gelap akhirnya kami menemukannya.Tempatnya terkesan suram kurang menarik, staf yg cuek, malah mengobrol tanpa memperdulikan kehadiran kami, setelah duduk agak lama, tidak ada yg menyodorkan daftar menu, akhirnya kami pergi mencari resto lainnya yg sangat banyak di kota bandung, dan staf yg sangat ramah untuk kami datangi
Romantic Resto with great view;suasana resto cozy modern.. jenis makanan western..rasanya oke, harga premium.. karna letak resto diatas, udaranya jadi agak dingin apalagi kalau malam..
