sep=;
title;text
Sejuk;Resto ini berada di atas bukit, kalau sudah di dago, pasti langsung keliahatan. Makanannya tidak terlalu enak menurut saya, selling pointnya adalah venuenya.
Restoran di Atas Bukit;Lokasi restoran ini mungkin tidak di pusat keramaian Bandung, tetapi menawarkan tempat yang nyaman. Tempat makan berupa gazebo-gazebo, sebagian berbentuk lesehan, sebagian diberi kursi dan meja. Pilihan makanan sangat beragam, mulai dari makanan tradisional, makanan Asia hingga makanan Barat, dengan rasa yang nikmat. Di siang hari kita bisa menikmati pemandangan kota Bandung dari atas, sedangkan di malam hari kita bisa menikmati pemandangan lampu-lampu kota Bandung.
Friendship;Tempatnya berupa joglo2 adapun ruangan tapi lebih banyak joglonya untuk makanannya lumayan enak tp harganya juga lumayan mahal. Pemandangan dari the stone cafe adalah view city cocok untuk suasana romantic
tempat yang cozy;saya kesana membwa group, tempatnya cozy, makanannya cukup baik dr segi penampilan atau rasa, sayangnya untuk hiburannya agak jauh, cafe ini menyediakan life band yang letaknya menurut saya agak jauh (jadi tidak terlalu kedengeran), untuk decor sudah ok.
Salah satu resto dengan suasana romantis ;Diawali dengan susah parkir karena penuh pengunjung.. Lalu ketempat makan yang aga nanjak krn parkir dibawah . Tapi begitu duduk View Bandung dng citylight nya keren.. Makanan Indonesia jg ada.. Pelayanan nya jg cepat.. Harga menengah keatas.. Ada live musik jg hari2 tertentu.
View bagus, tempat nyaman, makanan enak tapi lumayan mahal;Saya dua kali ke The Stone Cafe karena suka view Bandung dari sini keren. Makananya juga enak cuma ya di atas rata-rata. Pelayannya ramah. Disarankan kalau datang memang malam hari dapat atmosfer kerennya. Menu favorit Sop Buntut sama caffe latte.
Jorok;Toiletnya jorok, lantainya berdebu, bantal2nya jg berdebu. Makanan & minumannya juga gak ada 1 pun yg enak. Cuman menang di view-nya aja bs lihat gunung & sebagian kota bandung. Malas juga review makanannya, foto aja malas.
Sipowww;Siapa sih yg gk kenal dago??hahahaMakanannya enak, pertama kesini nyasar, gara2 belum tahu jalannya, hahahaDesignnya unik, tempat nya bagus, cozy, nyaman, adem krn di daerah pegunungan...makanannya enak apalagi sop buntutnya.. sipoooww..
Tempatnya Bagus;Saya sudah beberapa kali kesini. Tempatnya memiliki view yang bagus. Makanannya juga lumayan enak. Sop Buntutnya boleh dicoba, cocok dengan udara digin di cafe ini. Dan untuk service, staffnya juga ramah2.
tempat makan yang cozy;Lokasi resto stone cafe terletak di dago atas, dan saat masuk ke area restonya kita sudah disuguhi tanjakan yang sangat tajam.Saya berkunjung ke sini dengan menggunakan bis, sehingga bis hanya bisa parkir di depan. Untuk masuk ke dalam restonya jadi jalan kaki nanjak sekitar 20-30 Meter.Menu makanan cukup enak, di teras atas, disuguhi pemandangan kota bandung.Sewaktu saya berkunjung, dalam rombongan. dan memesan minum, waktu tunggu dari minuman pesan hingga sampai memakan waktu yang cukup lama. mungkin ini dikarena ketidak siapan dalam menghadapi order yang banyak variasi dalam 1 wakttu bersamaan.
Pemandangannya luar biasa indah;Desain Cafenya unik, staffnya ramah, masakannya enak, plus kami dapat souvenir udeng keren khas Sunda. Dinner dengan remang cahaya lilin dan pemandangan kota Bandung dari atas yang Indah luar biasa :) I'd love to come back whenever I go to Bandung :D sayang akses jalannyabaja sih yang kecil dan padat.
Resto cozy model cafe dan saung;Resto ini menyediakan menu makanan Indonesia & western dan juga minumanannya sangat lengkap, suasana makan menyenangkan di Saung sambil melihat pemandangan kota Bandung. Pelayanan menyenangkan, harga sesuai kualitas dan pelayanan.
Keren dan Enak;tempat makan yang menyenangkan sambil menikmati pemandangan alam dan kota bandung dari atas bukit dago, akan tetapi makanannya cukup mahal akan tetapi rasa yang diberikan sangat lezat dan enak
Santai di posisi yang tepat;Kami tiba di Stone Cafe pukul 17:30. Karena baru pertama kesini, jadi kami harus banyak bertanya. Ternyata Stone Cafe berbentuk saung2. Perpaduan yang menarik antara tradisional dan international. Kenapa begitu, karena sebagian besar bentuk Stone Cafe yang saung, tetapi dengan hidangan dan minuman international. Cocok sekali untuk hang out bersama saudara dan teman dengan suasana cafe yang berbeda. Tersedia wifi gratis, hanya saja tidak stabil. Apalagi pada saat itu kami mendapatkan saung nomor 12, dimana posisinya menghadap ke panggung live music. Putra kami yang memang suka live music sangat antuasias. Hanya saja, sound yang dikeluarkan terbilang kecil, sangat disayangkan, tetapi apabila dilihat dari sekitar, masih ada pemukiman yang pasti akan terganggu apabila music terdengar kencang.Untuk harga makanan dan minuman, relatif masuk akal. Kalaupun memang agak mahal, anggap saja kita membeli suasana yang berbeda untuk ke cafe
stone cafe;cocok banget buat kumpul2 sama teman .. tempatnya cozy , makanannya enak2 banget .. ada wine dll juga . sangat recomended resto di bandung .. ada tempat lesehannya juga yang mewah tentunya .
Enak dan banyak! ;Makanannya enak semua, dari snack, makanan utama sampai makanan penutup nya enak dan porsi mengenyangkan!Udara nya sejuk, tempatnya terang cocok untuk keluarga atau Acara kantor.
Tempat yang romantis;Tempat romantis. Cocok untuk memberikan kejutan untuk pasangan. Makanan enak. Semua makanan menggugah selera. Tetapi tetap siapkan kocek yg banyak juga hehhe
Makan malam yg spesial;Tempat sangat mudah di capai, makan enak, tempat sangat bersih dan rapi, pelayanan sangat ramah dan yg terpenting pesanan cepat tdk lelet
Restourant Suasana kota ajib deh;"......restourant pinggir kota Bandung yg letaknya di arah pas pintu masuk dago Pakar.....duduk di spot paling pinggir sisi jalan ..bisa lihat pemandangan kota bandung..menunya full variasi bisa pesan selera..klo sy sih tetep menu sundaan....over all good resto .... ..."
