sep=;
title;text
Good Food Good Price;Saya datang masih dengan menu breakfastnya, setelah itu ngobrol2 dulu kebetulan tempatnya homie juga nyaman buat hangout, dan lanjut buat buat makan siangnya hehehe
Warung Keren Buat Kongkow;Warung pasta namanya tepat di depan Masjid salman ITB, sesuai dengan namanya menu warung ini banyak yang dari pasta, Lokasinya menarik dan design warungnya pas buat anak muda, untuk diskusi atau sekedar kongkow...
Ada Diskon Pelajarnya !;Suka banget ama yang diskon-diskon haha. Selain bisa nongkrong sama temen. Tempat ini cocok buat para mahasiswa, karena ada potongan diskon hingga 20% lho !. Tinggal tunjukin KTM aja guys !
Tempat Kongkow;Tempatnya cukup nyaman dan makanannya cukup enak. Harganya pun tidak terlalu mahal. Tempat yang enak untuk berkumpul bersama teman daripada keluarga. Menunya juga cukup unik dengan cara memesan bumbu yang diinginkan lalu memilih jenis pastanya. Menu favorit saya creamy bloody mary (baked). Sayang parkirnya cukup terbatas dan pengunjungnya banyak.
Eggy Scampy : Fusilli Prawn Telur Asin;Eggy scampy menawarkan perpaduan fusilli dengan udang dan telur asin. Meskipun mbaknya menyatakan bahwa porsi large = 2 porsi mie, porsi largenya terasa kurang nendang :) Green tea bubblenya tidak terekomendasi, selain harganya mahal, rasanya biasa aja dan bubblenya sedikit sekali, mending beli chat*me deh
Nyaman;Lokasinya yang bersebelahan dengan Kampus ITB membuat cafe ini cukup ramai. Pilihan menu pastanya cukup variatif. Tempatnya juga nyaman dan luas dengan design yang menarik.
Good place;Saya sering kesini Tempatnya cozy, makanan jg enak sesuai dengan harga pas buat kumpul bareng temen2. Cm terakhir kesana ada sedikit komplain, waitress kurang friendly n malah terkesan ' ngusir '. Mudah2n nanti ada perubahan
Pasta enak;Lokasi deket kampus itb. Pizza nya tipis tapi enak. Pastanya ada yg bake... rasanya enak banget. Minumnya bisa refil. Enak buat bareng temen temen.
Don't expect too much;Pada bilang disini pastanya enak. Tapi setelah coba, dari 2 minuman dan 2 makanan, yang rasanya bener cuma 1 minuman. Pasta cream saucenya biasa aja dan kurang berasa. Thai tea nya aneh, pasta panggangnya ga jelas rasanya. Hanya kemakan 2 suap.
Tempat kongkow yang cocok untuk yang muda dan yang berkeluarga di Dago;Untuk yang tengah berada di sekitar Dago, Warung Pasta sangat cocok buat kita. Tidak peduli apakah untuk yang lagi pacaran atau untuk yang sudah berkeluarga bersama anak. Aneka jenis pasta ditawarkan di sini, juga interior yang dibuat juga cocok untuk kumpul bersama keluarga atau untuk yang ingin berdua-duaan atau bahkan kumpul untuk arisan atau reunii kecil bersama teman-teman.
Menu yang Bervariasi;Saya mencoba makan malam di restoran ini. Menu pasta yang bervariasi menjadi nilai tambah restoran ini. Harganya cukup murah, mungkin karena lokasinya dekat dengan salah satu Universitas.
Warung pasta yang bukan sekedar pasta;Warung Pasta. Cafe yang menyajikan menu aneka olahan pasta yang ber lokasi di Jalan Ganesha, Bandung, ini pastinya udah banyak orang yang tahu. Bisa dibilang cafe ini sudah cukup lama berdiri. Karena berada di samping kampus ITB, tidak heran kebanyakan yang datang adalah kelompok mahasiswa. Tidak hanya pasta yang disajikan di sini, ada juga pizza, nasi keju, sup dan aneka camilan seperti calamaru dan lainnya. Ada juga menu yang bisa dibilang cukup jarang ditemukan di Bandung, yaitu Calzone. Ini semacam sandwich atau bentuknya mirip-mirip pastel kalo di Indonesia, hanya saja ukurannya lebih besar.harga cukup kompetitif dan masih dalam jangkauan anak muda atau bahkan mahasiswa
menu pasta bervariasi;Saya sudah sering ke bandung bersama keluarga untuk sarapan di Warung Pasta terutama lazana favorite saya, minuman, dan tempatnya enak dan cozy serta banyak pilihan menu dan kursi.
Love pasta;Beberapa pastanya di sajikan dengan cara memasak yang berbeda dan untuk pertama kalinya tahu kalo sepageti itu jenisnya beragam ya di warung pasta ini, masih berasa dan suasana tempatnya yang nyaman, pernah juga beli paket yang free cheese cake avocado loveable bangeett
Makanan Enak ala Eropa;Rasanya enak, dan letaknya mudah diakses. Ditambah, banyak pilihan untuk makanan jenis eropa di sini.
Happy tummy;Creamy cheese pizzanya enakkk..tiramissunyaa juara cobain! Harganya lumayan terjangkau karena deket kampus mungkin..
Jangan lupa mampir kemari saat Anda berada disekitar kampus ITB;Menu yang ditawarkan banyak macamnya, menarik khas kota Bandung yang terkenal dengan kekreatifannya. Ketika mampir disini selepas sholat Jum'at sangat penuh, untung rekan saya sudah pesan tempat duluan, jadi aman spot kami. Buat yang suka menu vegetarian pun disini tersedia. Minumannya juga lucu-lucu bentuk dan jenisnya. Seru buat tempat nongkrong bareng temen kampus/kantor.
Menikmati Pasta murah meriah;Namanya Warung Pasta, tp tempatnya sangat cozy, cocok buat nongkrong dgn teman, dekat kampus ITB .Berbagai macam pasta banyak ditawarkan , dengan harga murah menjadikan tempat ini selalu penuh, soal rasa sebenarnya biasa biasa saja, harga jg sedikit lbh mahal sekarang dibandingkan dulu wkt baru dibuka, msh menempati rumah tua di seberangnya, tp masih ok lah buat mereka penggemar pasta, dgn kantong terbatas ya disini tempatnya, tp kl bisa pertahankan spt rasa, menu dan harga seperti awal dulu, benar2 Warung Pasta murah meriah
Warung Berbagai Macam Pasta;Restoran ini terletak dekat kampus ITB sehingga sering dijadikan tempat traktiran jika dapat nilai bagus. Sesuai judulnya resto ini menyajikan berbagai macam pasta. Untuk ukuran kantong mahasiswa harganya lumayan mahal sebenarnya. Porsinya agak banyak dan cukup mengenyangkan buat penggemar pasta. Untuk mengirit pilihlah minuman yang bisa direfill atau free flow
