sentence;food;service;price;place;other
ini tengah kota tetapi suasana iya tidak kalah cantik .;-;-;-;positive;-
saya suka makanannya .;positive;-;-;-;-
harga memang agak mahal .;-;-;negative;-;-
harga untuk kepuasan yang didapat .;-;-;negative;-;-
yang menjadi point utama dari restoran ini adalah penataan ruangan dan tamannya .;-;-;-;positive;-
walau areanya tidak terlalu luas untuk resort .;-;-;-;negative;-
areanya di atur dengan baik sehingga menjadi menarik dan cantik .;-;-;-;positive;-
duduk di dalam dekat jendela udaranya masih sejuk .;-;-;-;positive;-
steak salmon dan sauce enak .;positive;-;-;-;-
begitu pula jus banyak pilihan .;positive;-;-;-;-
ada musholla kecil yang cukup bersih .;-;-;-;positive;-
lokasinya berada ditengah kota bandung , nuansanya romantis , ada live music .;-;-;-;positive;-
meskipun rasa makanan tidak istimewa .;negative;-;-;-;-
datang dengan rombongan di sabtu malam minggu , tempat sangat indah .;-;-;-;positive;-
namun sayangnya pelayan tidak sigap dan beberapa order belum dibuat sehingga kami bersiap pulang , yang menyebalkan adalah saat kami akan cancel order yang akan di take away tidak boleh dengan alasan sudah di proses sedangkan saat beberapa order dine - in kami tidak diantar-diantar sehingga kami mau pulang boleh di cancel karena kesalahan dari pihak restoran , tidak adil dan sangat mengecewakan .;-;negative;-;-;-
meskipun harga makanannya tidak murah juga .;-;-;negative;-;-
tempatnya sangat bagus , pemandangannya super keren , perpaduan antara nuansa bandung dan bali , di bagian depan terdapat tempat makan dengan desain kursi dan meja berjejer rapi , sementara di bagian belakang terdapat saung-saung dengan pemandangan yang sangat bagus .;-;-;-;positive;-
saya memesan tenderloin steak australia , rasanya enak , dagingnya sangat lembut .;positive;-;-;-;-
tetapi porsinya agak kecil;negative;-;-;-;-
restoran ini penuh pada malam minggu , yang menarik parkir disini ditawarkan dengan sistem vallet dengan membayar seikhlasnya .;-;-;-;positive;-
senang makan di restoran ini , banyak variasi menu yang ditawarkan .;positive;-;-;-;-
mantap .;-;-;-;-;-
cafe berlokasi di tengah kota , tempatnya cukup luas , asyik dan menyenangkan untuk berlama-berlama dengan sahabat .;-;-;-;positive;-
steaknya top , waktu itu kami pesan steak non local , rasanya enak dengan porsi sedang , harganya cukup mahal .;positive;-;negative;-;-
pelayanan standar .;-;negative;-;-;-
steak ! tiba di cafe , saya masih terkesan dan terpukau dengan interior cafe yang nyaman dan terlihat mewah .;-;-;-;positive;-
dengan konsep outdoor dan romantis .;-;-;-;positive;-
sesuai dengan gambar di menu , makanan yang disajikan sesuai .;positive;-;-;-;-
rasanya sangat enak .;positive;-;-;-;-
suasananya asyik . .;-;-;-;positive;-
terutama malam hari , makan salmon steak , asparagus soup , jus nanas , enak . .;positive;-;-;-;-
wow keren .;-;-;-;-;-
restoran terbaik di bandung dengan semua pilihan makanannya yang enak dan selalu sempurna , harga yang sangat terjangkau , pelayanan yang selalu memuaskan , dan suasana yang nyaman .;positive;positive;positive;positive;-
otentik dan sehat .;-;-;-;-;-
nasi gorengnya juga enak .;positive;-;-;-;-
nasi gorengnya tidak segurih kalau pakai bumbu nasi goreng instan .;negative;-;-;-;-
nasi gorengnya segar , ada daging ayamnya yang enak .;positive;-;-;-;-
tempat tetap nyaman , masakan tetap lezat , dan pelayanan tetap ramah .;positive;positive;-;positive;-
kalau urusan makanan yang enak-enak kayaknya braga permai raja .;positive;-;-;-;-
bukan hanya makanan yang mantap tetapi suasana semakin hangat apalagi bersama family or frend . .;positive;-;-;-;-
tetapi suasana semakin hangat apalagi bersama family or frend . .;-;-;-;positive;
lagu-lagu juga menghibur banget . . .;-;-;-;positive;-
saya sangat menyukai restoran ini karena makanan yang enak dan harganya tidak terlalu mahal .;positive;-;positive;-;-
karena harga murah dan tentu porsi juga cukup banyak;positive;-;positive;-;-
jangan lupa kalau kesini pesan ice creamnya enak .;positive;-;-;-;-
pemandangan bagus , ada sungai kecil anak-anak bisa bermain , ada permainan air juga .;-;-;-;positive;-
makanan juga lumayan enak .;positive;-;-;-;-
harga standar restoran sejenis .;-;-;negative;-;-
di tempat ini saya pertama kunjungi saat di lembang , tempatnya sangat unik , di mana terdapat rumah rabit yang sangat lucu , seperti berada di negara dongeng .;-;-;-;positive;-
tempat rekreasi yang cukup bagus untuk pergi bersama keluarga .;-;-;-;positive;-
ada tempat main anak-anak , ada taman yang indah , dan tempat makan yang cukup banyak .;-;-;-;positive;-
lingkungan yang asri dan menyenangkan .;-;-;-;positive;-
ketika berkunjung ke dusun bambu , saya bersama keluarga makan di restoran burangrang , menurut saya rasa makanan standar dengan harga yang cukup mahal .;negative;-;negative;-;-
di dusun bambu banyak spot fotogenic .;-;-;-;positive;-
( tetapi aslinya tidak seindah di foto ) .;-;-;-;negative;-
karena menginap di resortnya maka kita memutuskan untuk makan malam disana , secara keseluruhan tidak ada yang spesial dari makanannya .;negative;-;-;-;-
untungnya kita kesini hari kerja , bukan long weekend kemarin , jadi dapat parkir & tidak penuh .;-;-;-;positive;-
parkirnya tidak terlalu luas & kita harus naik shuttle ke dalam dusun bambu .;-;-;-;negative;-
lutung kasarung itu tempat makan bentuknya seperti sangkar burung bambu , lucu & unik !;-;-;-;positive;-
paling suka sm lampion bambu yang ada di tengah-tengah pasar khatulistiwa , gaya tradisional yang dibalut modern .;-;-;-;positive;-
wooww keren !;-;-;-;-;-
ketika saya berkunjung saat akhir pekan dan kondisi sangat ramai .;-;-;-;negative;-
suasana memang sangat menyenangkan , udara yang sejuk dan pemandangan yang indah .;-;-;-;positive;-
namun menjadi sangan terbatas karena segala fasilitas serba penuh;-;-;-;negative;-
sop burung daranya mantap .;positive;-;-;-;-
udang mayonesnya unik sekali .;positive;-;-;-;-
tidak terlalu ramai kecuali pada weekend .;-;-;-;-;-
makanan sangat enak dan banyak pilihan yang bisa anda pilih .;positive;-;-;-;-
dimsum dan dessert adalah salah satu kelebihan restoran ini .;positive;-;-;-;-
porsi banyak cocok untuk makan bersama-sama .;positive;-;-;-;-
tempat bagus dan interiornya indah cocok untuk bersantai dan bersantap ria .;-;-;-;positive;-
apabila sedang ramai , pesanan agak lama datang .;-;negative;-;-;-
makananya semuanya enak .;positive;-;-;-;-
paling suka sama udang mayonaisenya .;positive;-;-;-;-
porsinya besar jadi lebih baik sharing saja makannya .;positive;-;-;-;-
harus menunggu agak lama untuk dapat menikmati makanan di restoran yang terletak di istana plaza , karena restoran ini kalau malam hari penuh , terkecuali kita berkunjung pas jam buka restoran sekitar jam 11 pagi .;-;negative;-;negative;-
makanan yang disajikan lumayan enak , terutama udang telur asin .;positive;-;-;-;-
